,Cod_Muestra,Fecha,Tipo,UTM_Este,UTM_Norte,SO4,NO3,Ca,Mg,K,Na,CO3,HCO3,Cl,Fe,Cu,pH,mSO4,O18,Deuterio,Ferrico,Ferroso,TDS,EC,Salinidad,rCa,rMg,rK,rNa,rCl,rSO4,rCO3,rHCO3,rNO3,Suma Aniones [meq/l],Suma Cationes [meq/l],Balance %,O2,Li,F,Al,Sb,As,Ba,Be,B,Cd,Co,Cr,Sn,P,Mn,Hg,Mo,Ni,Ag,Pb,Se,V,Zn,Si,eH,Do,T
1,CPO-RT-039,08-10-2009 00:00:00,Pozo,374442,6958600,799,23.2,290,82.5,5.75,170,0,225,295,1.548,0.005,7.29,8.317718093,-10.36,-79.3,,,1776.72,2400,Salobre,14.47178003,6.788726599,0.147065218,7.394583685,8.320945936,16.63481277,0,3.687490884,0.374163977,29.01741357,28.80215553,-0.372292702,4.87,0.38,0.46,0.01,0.005,0.0025,0.021,0.001,0.99,0.001,0.001,0.002,0.0015,0.025,0.004,,0.0025,0.0025,0.001,0.001,0.009,0.004,0.014,,,,
2,XTERRAE A-1,22-10-2015 00:00:00,IM200,374242,6961890,895.83,0.86,272.5,69.29,6.733,151,0,218.5307762,281.12,0.015,0.005,7.16,9.325733916,-10.85,-82.6,,,1754,1340,Salobre,13.59848296,5.701707468,0.172206976,6.568130214,7.929438378,18.65076887,0,3.581467756,0.013869872,30.17554487,26.04052762,-7.355578347,,,,0.1,,0.1,,,,0.005,,0.005,,,0.154,,0.015,0.025,0.005,0.025,0.1,,0.0025,,,,
3,XTERRAE A-2,22-10-2015 00:00:00,IM135,374055,6962264,2192.05,0.025,1232,15.76,6.09,1119,0,61.06186218,2566.6,0.219,0.005,6.88,22.81959192,-10.02,-77.4,,,9704,6290,Salada,61.48011378,1.296852499,0.155761248,48.67375967,72.39505031,45.63747351,0,1.000733601,0.000403194,119.0336606,111.6064872,-3.220243087,,,,0.238,,0.1,,,,0.005,,0.005,,,0.364,,0.015,0.025,0.005,0.025,0.1,,0.0025,,,,
4,XTERRAE A-3,22-10-2015 00:00:00,IM60,373815,6962167,2066.83,0.39,743,113,12.01,593.3,0,153.2031153,744.7,0.015,0.07,7.27,21.51603165,-7.74,-63.6,,,4004,3730,Salobre,37.07769849,9.298498251,0.307174481,25.80709706,21.00545234,43.03045066,0,2.510822627,0.006289825,66.55301545,72.49046828,4.270212939,,,,0.272,,0.1,,,,0.005,,0.005,,,2.475,,0.015,0.025,0.005,0.025,0.1,,0.0025,,,,
5,XTERRAE A-4,22-10-2015 00:00:00,IM60,373750,6962079,1675.73,2.17,946.4,0.98,3.225,947.1,0,9.140997332,1987.6,0.015,0.005,8.55,17.44461795,-6.69,-57.6,,,7402,6560,Salada,47.22790558,0.080641843,0.082484405,41.19653064,56.06343099,34.88792841,0,0.149810419,0.034997234,91.13616706,88.58756247,-1.418067943,,,,0.005,,0.1,,,,0.005,,0.005,,,0.046,,0.038,0.025,0.005,0.025,0.1,,0.0025,,,,
6,XTERRAE A-6,22-10-2015 00:00:00,P14,374633,6960813,654,2.5,171.7,52.39,3.945,102.8,0,241.4442095,115.04,0.015,0.159,7.1,6.808244847,-10.2,-77.6,,,1224,1190,Salobre,8.568291831,4.31104711,0.100899528,4.471548252,3.244886849,13.61597941,0,3.95699254,0.040319394,20.8581782,17.45178672,-8.891659087,,,,0.005,,0.1,,,,0.005,,0.005,,,0.006,,0.015,0.025,0.005,0.025,0.1,,0.0025,,,,
7,CPM-JC-06,25-04-2018 00:00:00,Pozo,367737,6971991,789,22,270,60,5,195,0,132,318,0.034,0.005,7.16,8.21361649,-9.49,-78.4,,,1724,2550,Salobre,13.47372623,4.937255709,0.127882798,8.482022462,8.969697653,16.42661737,0,2.163327985,0.354810668,27.91445367,27.0208872,-1.626578548,4.23,0.01,0.37,0.01,0.005,0.026,0.026,0.001,2.8,0.001,0.001,0.001,0.0015,0.025,0.0015,0.00015,0.012,,0.001,0.001,0.032,0.004,0.029,,,,
8,CPM-JC-07,25-04-2018 00:00:00,Pozo,370829,6968552,649,3.2,243,25,1.8,75,0,55,119,0.036,0.005,7.5,6.756194045,-9.31,-75.1,,,1143,1388,Salobre,12.12635361,2.057189879,0.046037807,3.262316332,3.356584971,13.51188171,0,0.90138666,0.051608824,17.82146217,17.49189763,-0.933257389,5.19,0.01,0.3,0.01,0.005,0.03,0.02,0.001,2.2,0.001,0.001,0.0005,0.0015,0.025,0.0015,0.00015,0.011,,0.001,0.001,0.022,0.004,0.016,,,,
9,VAI 1,01-08-2018 00:00:00,IM200,374440,6962016,729,13.5,305.8,73.3,7.5,174,0,243.150772,200.87,0.001,0.1,7.31,7.589006871,,,,,1668,2094,Salobre,15.26024253,6.031680724,0.191824197,7.568573889,5.665859018,15.17744494,0,3.984961134,0.217724728,25.04598982,29.05232134,7.405649879,,,,0.27,,0.019,,,,,,,,,0.09,,0.0035,0.00015,,,,,1.82,,,,
10,VAI 2,01-08-2018 00:00:00,IM300,374376,6961952,1052,72.2,466.6,113.2,9.6,236.8,0,197.0800994,392.6,0.001,0.12,7.09,10.95148865,,,,,2632,3022,Salobre,23.28459504,9.31495577,0.245534972,10.3002201,11.07390974,21.90215649,0,3.229915866,1.164424102,37.3704062,43.14530588,7.172388506,,,,0.2,,0.023,,,,,,,,,0.069,,0.006,0.00015,,,,,0.00025,,,,
11,VAI 3,01-08-2018 00:00:00,IM170,374469,6962546,886,4.74,406.2,38.8,7.6,306.1,0,181.7232085,218.3,0.001,0.0037,7.18,9.22340204,,,,,1924,2288,Salobre,20.27047258,3.192758692,0.194381853,13.31460039,6.157499993,18.44611278,0,2.97823411,0.076445571,27.65829246,36.97221351,14.41102915,,,,0.41,,0.025,,,,,,,,,0.073,,0.0049,0.00015,,,,,0.00025,,,,
12,VAI 5,01-08-2018 00:00:00,IM256,374533,6962908,498,2.55,197.1,40.7,6.1,136.9,0,189.401654,85.9,0.001,0.0013,7.46,5.184259838,,,,,1076,1377,Salobre,9.835820151,3.349105122,0.156017014,5.954814744,2.42294663,10.36813111,0,3.104074989,0.041125782,15.93627851,19.29575703,9.535294979,,,,0.17,,0.018,,,,,,,,,0.048,,0.0026,0.00015,,,,,0.00025,,,,
13,P1,11-08-2022 00:00:00,IM270 G4,374260,6961641,812.3,,411.5,75.83,8.1,161.8,0,,,0.15,0.22,7.81,8.456173225,,,,,1184.017,2350,Salobre,20.53495683,6.23986834,0.207170133,7.037903766,,16.91171266,0,,,,34.01989907,,,,,0.3,,0.003,,,,0.005,,0.015,,,0.05,,0.25,0.015,0.005,0.01,0.0015,,0.005,,,,
14,P2,11-08-2022 00:00:00,IM200,373853,6961653,997.9,,512.3,81.34,13.3,178.1,0,,,0.94,1.2,7.83,10.38829898,,,,,1260.3504,2507,Salobre,25.56514796,6.693272989,0.340168243,7.746913849,,20.77581935,0,,,,40.34550304,,,,,0.3,,0.006,,,,0.005,,0.015,,,0.21,,0.25,0.015,0.005,0.01,0.0015,,0.06,,,,
15,P3,11-08-2022 00:00:00,HA01,374391,6961861,478.9,,181.1,51.57,6.4,115.3,0,,,22.28,0.04,7.53,4.985425776,,,,,423.114,785,Dulce moderadamente mineralizada,9.037377115,4.243571282,0.163689981,5.01526764,,9.970477892,0,,,,18.45990602,,,,,0.3,,0.0015,,,,0.005,,0.015,,,0.18,,0.25,0.015,0.005,0.01,0.0015,,0.02,,,,
16,P4,11-08-2022 00:00:00,P12,374530,6961290,458.9,,200.3,40.91,4.6,84.3,0,,,14.6,0.01,7.24,4.777222569,,,,,776.5814,1512,Dulce mineralizada,9.995508758,3.366385517,0.117652174,3.666843557,,9.554087084,0,,,,17.14639001,,,,,0.3,,0.0015,,,,0.005,,0.015,,,0.41,,0.25,0.015,,0.01,0.0015,,0.01,,,,
17,CCMO-1491 ,11-08-2022 00:00:00,HA01,374393,6961862,405.81,0.1015,82.006,40.67,4.343,103.688,0,102.85,129.78,9.965,0.00087,7.6,4.224547158,,,0.72,9.25,980,708,Dulce mineralizada,4.092319976,3.346636495,0.111078998,4.510174077,3.66065208,8.448777685,0,1.685593055,0.001636967,13.79665979,12.06020955,-6.715624459,,,,0.114,,0.00085,,,,0.003,,0.00404,,,0.128,,0.00013,0.006,0.003,4.00E-05,0.00198,,0.01155,,,,
18,CCMO-1492 ,11-08-2022 00:00:00,IM200,374440,6962016,885.3,26.4,244.853,66.07,9.686,160.274,0,206.91,249.3,0.638,0.247,7.78,9.216114928,,,0.04,0.6,1856,2458,Salobre,12.21882329,5.436741411,0.247734556,6.971526503,7.031904481,18.43153911,0,3.391016617,0.425772802,29.28023301,24.87482577,-8.134802805,,,,0.031,,0.005,,,,0.003,,0.0111,,,0.184,,0.005,0.007,0.003,0.0065,0.007,,0.011,,,,
19,CCMO-1509 ,11-08-2022 00:00:00,IM270 G4,374260,6961641,795.5,17.7,226.564,61.05,6.654,141.171,0,234.74,236.9,0.075,0.049,7.8,8.281282532,,,0.02,0.06,1736,1236,Salobre,11.306153,5.023657684,0.170186428,6.140592785,6.682142686,16.56194438,0,3.847118267,0.28546131,27.37666664,22.6405899,-9.468885484,,,,0.257,,0.005,,,,0.003,,0.0124,,,0.05,,0.01,0.007,0.003,0.0065,0.007,,0.011,,,,
20,CCMO-1490 ,11-08-2022 00:00:00,P12,374532,6961286,491.3,0.1015,145.555,40.19,3.642,88.805,0,214.17,132.7,17.807,0.00101,7.3,5.114511763,,,1.36,16.45,1038,1275,Salobre,7.263586007,3.307138449,0.09314983,3.862800024,3.743015342,10.22864019,0,3.509999656,0.001636967,17.48329216,14.52667431,-9.236554027,,,,0.184,,0.0008,,,,0.003,,0.00995,,,0.33,,0.00074,0.007,0.00017,4.00E-05,0.00472,,0.011,,,,
21,SOC-FF-01,15-08-2022 00:00:00,IM270 G4,374260,6961641,815.2,20.6,290,80,7.7,146.3,0,124.3,212.6,0.2,1,7.8,8.48636269,-10.24,-78.92,,,1319,2637,Salobre,14.47178003,6.583007612,0.196939509,6.363691724,5.996722393,16.97208932,0,2.037133853,0.332231807,25.33817738,27.61541887,4.300447292,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,
22,SOC-FF-02,15-08-2022 00:00:00,IM270 G12,374313,6961673,900.5,7.7,340,75,8.8,156,0,101.4,295.5,2.2,0.05,7.2,9.374349365,-10.11,-79.6,,,1439,2877,Salobre,16.96691452,6.171569636,0.225073724,6.78561797,8.335049235,18.74799612,0,1.661829225,0.124183734,28.86905831,30.14917585,2.169020392,,,,1,,,,,,,,,,,,,,,,,,,,,,,
23,SOC-FF-03,15-08-2022 00:00:00,IM60,373712,6962224,1270.7,28,457.5,87.5,11.8,172.8,0,74.7,253.6,0.4,0.6,7.1,13.22819071,-9.93,-77.9,,,1644,3289,Salobre,22.83048056,7.200164575,0.301803403,7.516376828,7.153192846,26.45538997,0,1.224246973,0.451577214,35.284407,37.84882537,3.50650215,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,
24,SOC-FF-04,18-08-2022 00:00:00,RÃ­o,378451,6939311,555.021,14.376,187,67.5,4.1,90,6.7,169,87.654,0.05,0.4,8.1,5.777857589,-10.83,-85.9,,,665,1310,Dulce mineralizada,9.331802984,5.554412672,0.104863894,3.914779598,2.472421,11.55528213,0.223299094,2.769715375,0.231852644,17.25257024,18.90585915,4.572347134,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,
25,CCMO-1950 ,18-08-2022 00:00:00,IM200,374440,6962016,832.43,25.636,230.192,62.53,8.512,150.35,0,222.64,222.921,0.145,0.0705,7.9,8.665729752,-9.67,-76,0.1,0.05,1734,2444,Salobre,11.48719996,5.145443324,0.217707675,6.539856806,6.287842675,17.33081001,0,3.648813202,0.413451195,27.68091708,23.39020777,-8.401438825,,,,0.307,,0.00545,,,,0.003,,0.01415,,,0.008,,0.00289,0.01885,0.00017,4.00E-05,0.0097,,0.01275,,,,
26,CCMO-1951 ,18-08-2022 00:00:00,IM270 G4,374260,6961641,767.989,17.526,207.303,58.64,6.197,136.615,0,245.63,197.538,0.0025,0.02415,7.83,7.994888611,-9.89,-77.2,0.01,0.01,1656,2277,Salobre,10.34497729,4.825344579,0.15849794,5.942417942,5.571874639,15.989178,0,4.025592826,0.28265508,25.86930055,21.27123776,-9.753946302,,,,0.28,,0.005,,,,0.003,,0.01545,,,0.008,,0.00165,0.01415,0.00017,4.00E-05,0.00865,,0.00344,,,,
27,CCMO-1952 ,18-08-2022 00:00:00,P12,374532,6961286,434.247,0.1015,135.792,36.93,3.46,82.465,0,202.07,125.643,11.121,0.00087,7.22,4.520580887,-7.1,-55,1.34,9.78,1016,437,Salobre,6.776386047,3.038880889,0.088494896,3.58702555,3.543961391,9.040822955,0,3.311694591,0.001636967,15.8981159,13.49078738,-8.19128396,,,,0.156,,0.0011,,,,0.003,,0.012,,,0.324,,0.0006,0.0102,0.00017,4.00E-05,0.00355,,0.0064,,,,
28,SOC-CM-01,19-08-2022 00:00:00,Pozo Ag. Copayapu,374838,6962270,481.101,1.5,103,45,4.5,93,0,42,111.817,0.05,1.6,7.27,5.008338538,-10.38,-77.81,,,544,1088,Dulce mineralizada,5.139977045,3.702941782,0.115094518,4.045272251,3.153976989,10.0163017,0,0.688331632,0.024191636,13.88280196,13.0032856,-3.271269425,,,,1,,,,,,,,,,,,,,,,,,,,,,,
29,SOC-CM-02,21-08-2022 00:00:00,P12,374530,6961290,461.688,3.051,175,45,4.4,92.5,0,188,134.599,0.05,0.6,6.65,4.806246096,-7.42,-57.5,,,737,1333,Dulce mineralizada,8.732970707,3.702941782,0.112536862,4.023523476,3.796579668,9.612131963,0,3.081103494,0.049205789,16.53902091,16.57197283,0.099519554,,,,1,,,,,,,,,,,,,,,,,,,,,,,
30,SOC-CM-03,21-08-2022 00:00:00,Pozo 8,374652,6958601,628.946,20.478,255,45,5.3,132.5,0,215,210.307,0.1,0.4,6.7,6.54742869,-10.55,-83.4,,,1204,2402,Salobre,12.72518589,3.702941782,0.135555766,5.763425519,5.932044668,13.09436665,0,3.5236024,0.330264221,22.88027794,22.32710895,-1.223625212,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,
31,CCMO-2573 ,25-08-2022 00:00:00,IM200,374440,6962016,731.7,17.1,206.857,55.6,8.052,136.617,0,231.11,,0.037,0.0443,7.37,7.617114304,-9.71,-76.3,0.02,0.02,1588,2302,Salobre,10.32272069,4.57519029,0.205942458,5.942504937,,15.2336577,0,3.787626747,0.275784656,,21.04635838,,,,,0.031,,0.0053,,,,0.003,,0.00965,,,0.045,,0.00218,0.0145,0.00017,4.00E-05,0.0085,,0.0093,,,,
32,CCMO-2572 ,25-08-2022 00:00:00,IM270 G4,374260,6961641,742.2,15.5,200.737,54.03,5.785,126.528,0,235.95,,0.035,0.0256,7.83,7.726420987,-9.96,-77.6,0.02,0.02,1538,2149,Salobre,10.01731623,4.445998766,0.147960397,5.503658144,,15.45226288,0,3.866948773,0.249980243,,20.11493354,,,,,0.209,,0.00655,,,,0.003,,0.0113,,,0.023,,0.00109,0.01075,0.00017,4.00E-05,0.0075,,0.0047,,,,
33,CCMO-2571 ,25-08-2022 00:00:00,P12,374532,6961286,447,0.1015,137.414,36.34,3.631,85.305,0,208.12,,7.265,0.0027,7.28,4.653341661,-7.12,-55.9,0.29,6.98,1016,1496,Salobre,6.85732821,2.990331208,0.092868488,3.710558596,,9.306334553,0,3.410847123,0.001636967,,13.6510865,,,,,0.161,,0.00123,,,,0.003,,0.00975,,,0.309,,0.00069,0.0081,0.00017,8.00E-05,0.00306,,0.00315,,,,
34,SOC-FF-05,27-08-2022 00:00:00,IM60,373665,6962133,,,,,,,0,,,,,6.91,,,,,,1653.6862,3316,Salobre,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,SOC-FF-06,01-09-2022 00:00:00,CANDELARIA,372534,6955776,2189.3,82.1,775,50,85,1040,0,47,1447,0.05,0.1,7.45,22.79096398,-2.95,-34.44,,,5692,8144,Salada,38.67458456,4.114379757,2.174007566,45.23745313,40.81494498,45.58021977,0,0.770275873,1.324088903,88.48952953,90.20042501,0.957465957,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,
36,SOC-FF-07,01-09-2022 00:00:00,CANDELARIA,372558,6955153,,,,,,,0,,,,,7.8,,,,,,4156.6438,8464,Salobre,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,SOC-FF-08,01-09-2022 00:00:00,CANDELARIA,372199,6956927,2150.4,31.1,435,50,45,1030,0,58,904,0.05,0.02,7.64,22.38600874,-3.39,-34.2,,,4675,6228,Salobre,21.70767004,4.114379757,1.150945182,44.80247762,25.49876314,44.77033965,0,0.950553206,0.501573263,71.72122926,71.7754726,0.037801108,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,
38,SOC-FF-09,01-09-2022 00:00:00,CANDELARIA,368795,6954138,2269.6,35.2,775,10,190,815,4.9,11,1082.9,0.05,0.04,9.11,23.62689985,-0.76,-15.3,,,5189,6739,Salada,38.67458456,0.822875951,4.859546323,35.45050414,30.54492324,47.25202886,0.163308293,0.180277332,0.567697069,78.70823479,79.80751097,0.693480747,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,
39,SOC-FF-10,01-09-2022 00:00:00,IM60,373665,6962133,2021.905,51.603,680,122.5,13,212.5,0,63.51,299.93,0.4,8.3,6.18,21.04835519,-9.87,-76.1,,,3433,3851,Salobre,33.93382903,10.08023041,0.332495275,9.243229606,8.460004457,42.09513281,0,1.04085576,0.832240678,52.4282337,53.58978432,1.095616235,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,
40,SOC-FF-11,01-09-2022 00:00:00,IM200,373853,6961653,820.105,18.616,302.5,70,9.6,157.5,0,208.57,199.425,0.4,0.25,7.79,8.537424526,-10.19,-78.2,,,1681,2305,Salobre,15.09556365,5.76013166,0.245534972,6.850864296,5.625100486,17.07420917,0,3.418222105,0.300234336,26.4177661,27.95209458,2.822020258,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,
41,SOC-FF-12,01-09-2022 00:00:00,IM256,374115,6962095,,,,,,,0,,,,,7.81,,,,,,1078.5116,2133,Salobre,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,SOC-FF-13,01-09-2022 00:00:00,IM270 G4,374260,6961641,766.88,14.234,287.5,70,6.9,147.5,0,227.25,185.175,0.4,0.12,7.66,7.983343743,-10.28,-80,,,1590,2158,Salobre,14.3470233,5.76013166,0.176478261,6.415888785,5.223156487,15.96608913,0,3.724365793,0.229562502,25.14317391,26.69952201,3.002058571,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,
43,CCMO-2570 ,01-09-2022 00:00:00,IM200,374440,6962016,801.599,19.185,278.281,77.67,10.858,182.454,0,229.9,,0.038,0.0292,7.84,8.3447741,-9.63,-76.1,0.04,0.01,1694,2333,Salobre,13.88697041,6.391277515,0.277710284,7.936302186,,16.68892276,0,3.767796241,0.30941103,,28.49226039,,,,,0.204,,0.00398,,,,0.003,,0.00012,,,0.054,,0.00204,0.0197,0.00017,8.00E-05,0.0058,,0.00536,,,,
44,CCMO-2569 ,01-09-2022 00:00:00,IM270 G4,374260,6961641,722.148,15.945,261.559,77.8,8.378,175.481,0,240.79,,0.278,0.01506,7.67,7.517676452,-9.79,-77,0.1,0.18,1592,2181,Salobre,13.05249763,6.401974902,0.214280416,7.632993762,,15.03478945,0,3.946270799,0.257157096,,27.30174671,,,,,0.189,,0.00656,,,,0.003,,0.01188,,,0.008,,0.00156,0.01842,0.00017,4.00E-05,0.00756,,0.0128,,,,
45,CCMO-2568 ,01-09-2022 00:00:00,P12,374532,6961286,471.548,0.1015,184.769,49.4,4.978,114.749,0,197.23,,7.283,0.00222,7.52,4.908890277,-6.99,-54.8,0.43,6.85,1000,1495,Dulce mineralizada,9.220470083,4.0650072,0.127320114,4.99130049,,9.817412631,0,3.232372564,0.001636967,,18.40409789,,,,,0.156,,0.00023,,,,0.003,,0.00496,,,0.401,,0.00013,0.00952,0.00017,4.00E-05,0.0034,,0.00644,,,,
46,CCMO-2959 ,08-09-2022 00:00:00,IM60,373815,6962224,1320.6,28.1,312.653,63.85,8.645,144.061,0,154.88,,0.583,0.83,6.61,13.74765771,-9.54,-75.6,0.13,0.45,1485,2970,Salobre,15.60222566,5.25406295,0.221109358,6.266300707,,27.49428504,0,2.538304836,0.45318999,,27.34369867,,,,,0.223,,0.00283,,,,0.003,,0.01565,,,0.837,,0.00315,0.089,0.00017,0.0001,0.00615,,1.55,,,,
47,CCMO-2960 ,08-09-2022 00:00:00,IM200,374440,6962016,846.9,19.2,184.159,50.9,7.078,124.595,0,238.37,,0.08,0.075,7.61,8.816364772,-9.71,-76.7,0.06,0.02,1151,1151,Salobre,9.190029443,4.188438593,0.181030889,5.419577378,,17.63206875,0,3.906609786,0.309652947,,18.9790763,,,,,0.175,,0.00484,,,,0.003,,0.0173,,,0.036,,0.0023,0.01435,0.00017,4.00E-05,0.0073,,0.0183,,,,
48,CCMO-2958 ,08-09-2022 00:00:00,P12,374532,6961286,453.1,6.5,126.035,34.14,3.113,76.813,0,188.76,,7.51,0.00246,7.03,4.716843639,-6.99,-55.5,0.84,6.67,986,1470,Dulce mineralizada,6.289485503,2.809298498,0.07961983,3.341177392,,9.43333375,0,3.093559019,0.104830425,,12.51958122,,,,,0.13,,0.00076,,,,0.003,,0.0091,,,0.355,,0.00048,0.0057,0.00017,4.00E-05,0.00208,,0.0087,,,,
49,CCMO-2962 ,14-09-2022 00:00:00,IM60,373815,6962224,1449.609,33.648,385.449,76.77,10.75,168.431,0,130.68,,2.412,0.764,6.8,15.09066209,,,0.42,1.99,2282,2584,Salobre,19.23494186,6.317218679,0.274948016,7.326336027,,30.18019312,0,2.141694705,0.542666789,,33.15344459,,,,,0.272,,0.00234,,,,0.003,,0.01678,,,1.254,,0.0026,0.1186,0.00017,0.00024,0.01134,,1.696,,,,
50,CCMO-2963 ,14-09-2022 00:00:00,IM200,374440,6962016,758.705,16.489,228.201,66.85,9.569,152.568,0,245.63,,0.057,0.0466,7.68,7.898240683,,,0.06,0.01,969,1937,Dulce mineralizada,11.3878437,5.500925735,0.244742099,6.636334374,,15.79588939,0,4.025592826,0.265930596,,23.76984591,,,,,0.21,,0.00454,,,,0.003,,0.01276,,,0.008,,0.0022,0.0234,0.00017,0.00025,0.00734,,0.0682,,,,
51,CCMO-2961 ,14-09-2022 00:00:00,P12,374532,6961286,445.111,0.1015,145.443,0.175,3.794,88.328,0,191.18,,15.583,0.0036,7.08,4.633676869,,,1.46,14.12,637,1275,Dulce mineralizada,7.257996906,0.014400329,0.097037467,3.842051692,,9.267006442,0,3.133220032,0.001636967,,11.21148639,,,,,0.158,,0.00121,,,,0.003,,0.0084,,,0.317,,0.00058,0.01064,0.00017,0.00182,0.00244,,0.00099,,,,
