,Unnamed: 0,CODIGO MUESTRA,Código SNGM,Código Mapa,UTM E (WGS 84 18S),UTM N (WGS 84 18S),Altura GPS nav,Tipo,Categoría,Propietario o nombre de cuerpo de agua,FECHA,pH,Conductividad (uS/cm),Oxígeno disuelto (mg/l),Temperatura (°C),ORP (mV),Informe Laboratorio,pH_1,Conductividad Laboratorio (uS/cm),Hidróxidos (mg/l),Carbonatos (mg/l),Bicarbonatos (mg/l),Ión Hidrógeno (mg/l),Fúor (mg/l),Calcio (mg/l),Magnesio (mg/l),Sodio (mg/l),Potasio (mg/l),Litio (mg/l),Sulfatos (mg/l),Cloruros (mg/l),Nitratos (mg/l),Alcalinidad Total (mg/l),Acidez (mg/l),Dureza Total (mg/l),Dureza carbonatosa (mg/l),Dureza no carbonatosa (mg/l),TSD (mg/l),TSD Evap, 103ºC (mg/l),Aluminio,Antimonio,Arsenico,Bario,Berilio,Boro,Cadmio,Cobalto,Cobre,Cromo,Estaño,Fosforo,Hierro,Manganeso,Molibdeno,Plata,Plomo,Selenio,Vanadio,Zinc,Mercurio (mg/l),COT (mg/l),Br (mg/l)   ,Rb (mg/l)   ,Sr (mg/l)   ,Y (mg/l)    ,Cs (mg/l)   ,Hf (mg/l)  ,Ta (mg/l)   ,Tl (mg/l)   ,Th (mg/l)   ,U (mg/l)    ,Ni (mg/l),SiO2 (mg/l),NH4 (mg/l),Salinidad Evap 103
0,0.0,PUD-FA-047,SNGM-PUD-0015,PZ0015,612724.0,5358813.0,57.0,Pozo,Pozo,Escuela Rural El Quilar,10-05-2018,738.0,200.0,662.0,1131.0,-1317.0,2018-078,740.0,201.0,-99.0,0.0,119.0,-99.0,0.09,19.0,85.0,82.0,22.0,0.01,1.0,72.0,150.0,98.0,-99.0,82.0,82.0,0.5,104.0,110.0,0.01,0.005,0.0025,0.0025,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,4.0,0.11,0.0025,0.001,0.001,0.0025,0.0015,0.034,0.00015,-99.0,89.0,0.0,7.0,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,0.025,7.04,235.0,Dulce moderadamente mineralizada
1,1.0,PUD-FA-054,SNGM-PUD-0015,PZ0015,612725.0,5358813.0,60.0,Pozo,Pozo,Pozo Escuela El Quilar,26-08-2018,73.0,197.0,431.0,113.0,2018-115,736.0,208.0,-99.0,125.0,0.0,0.09,18.0,94.0,90.0,21.0,0.01,5.0,67.0,150.0,103.0,-99.0,83.0,83.0,0.5,107.0,113.0,0.01,0.005,0.0025,0.0025,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,7.1,0.11,0.0025,0.001,0.001,0.0025,0.0015,0.042,0.00015,-99.0,22.0,0.0005,71.0,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,-99.0,-99.0,73.0,0.025,45.0,Dulce moderadamente mineralizada,-99.0,-99.0
2,2.0,PUD-RT-055,SNGM-PUD-0015,PZ0015,612724.0,5358813.0,57.0,Pozo,Pozo,Escuela Rural El Quilar,23-02-2019,718.0,195.0,186.0,1371.0,-1246.0,2019-024,705.0,212.0,-99.0,0.0,125.0,-99.0,0.07,18.0,90.0,62.0,21.0,0.01,5.0,68.0,150.0,102.0,-99.0,82.0,82.0,0.5,104.0,110.0,0.01,0.005,0.0025,0.006,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,7.0,0.24,0.0025,0.001,0.001,0.0025,0.0015,0.063,0.00015,-99.0,60.0,0.0005,68.0,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,-99.0,-99.0,Dulce moderadamente mineralizada,-99.0
3,3.0,PUD-FA-084,SNGM-PUD-0036,PZ0036,605935.0,5366543.0,24.0,Pozo,Pozo,APR Huicha,25-02-2019,618.0,161.0,225.0,1142.0,372.0,2019-018,612.0,1706.0,-99.0,0.0,4932.0,-99.0,0.05,103.0,42.0,16.0,18.0,0.01,33321.0,25397.0,15.0,40.0,-99.0,43.0,40.0,2.0,85.0,90.0,0.01,0.005,0.0025,0.0052,0.001,0.03,0.001,0.0037,0.005,0.0005,0.0015,0.025,0.4527,0.46,0.0025,0.001,0.001,0.0025,0.0015,0.3321,0.00015,-99.0,222.0,0.003,97.0,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,52.0,0.025,242.0,Dulce
4,4.0,PUD-RT-102,SNGM-PUD-0036,PZ0036,605932.0,5366540.0,23.0,Pozo,Pozo,APR Huicha,11-02-2020,661.0,253.0,163.0,1486.0,2020-021,721.0,229.0,-99.0,103.0,0.0,0.08,14.0,11.0,15.0,28.0,0.01,5.0,19.0,150.0,84.0,-99.0,78.0,78.0,0.5,112.0,119.0,0.01,0.005,0.0025,0.006,0.001,0.03,0.001,0.005,0.005,0.0005,0.0015,0.072,10.0,0.608,0.0025,0.001,0.001,0.0025,0.0015,0.094,0.00015,-99.0,27.0,0.0005,52.0,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,-99.0,-99.0,Dulce moderadamente mineralizada,-99.0,-99.0,-99.0
5,5.0,PUD-FA-174,SNGM-PUD-0036,PZ0036,605935.0,5366543.0,24.0,Pozo,Pozo,Pozo APR Huicha,25-08-2021,71.0,342.0,152.0,1181.0,708.0,2022-007,754.0,310.0,-99.0,177.0,0.0,0.1,21.0,15.0,22.0,37.0,0.01,1.0,11.0,2.0,145.0,-99.0,111.0,111.0,0.5,160.0,168.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,Dulce moderadamente mineralizada,-99.0,-99.0,-99.0,-99.0
6,6.0,PUD-FA-007,SNGM-PUD-0042,PZ0042,609162.0,5368153.0,25.0,Pozo,Pozo,APR Pugeñun,24-01-2018,687.0,204.0,39.0,1283.0,-33.0,2018-022,702.0,228.0,-99.0,0.0,124.0,-99.0,0.11,16.0,10.0,14.0,32.0,0.01,15.0,12.0,150.0,102.0,-99.0,83.0,83.0,0.5,119.0,125.0,0.01,0.005,0.0025,0.008,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.18,4.8,0.368,0.0025,0.001,0.001,0.0025,0.0015,0.021,0.00015,-99.0,478.0,0.0005,98.0,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,62.0,0.33,238.0,Dulce moderadamente mineralizada
7,7.0,PUD-FA-056,SNGM-PUD-0042,PZ0042,609161.0,5366153.0,25.0,Pozo,Pozo,Pozo APR Pugueñun,27-08-2018,675.0,185.0,304.0,1251.0,2018-115,756.0,193.0,-99.0,97.0,0.0,0.08,13.0,91.0,10.0,21.0,0.01,22.0,13.0,150.0,79.0,-99.0,70.0,70.0,0.5,97.0,103.0,0.01,0.005,0.0025,0.007,0.001,0.03,0.001,0.003,0.005,0.0005,0.0015,0.13,5.3,0.4,0.0025,0.001,0.001,0.0025,0.0015,0.013,0.00015,-99.0,16.0,0.003,106.0,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,-99.0,-99.0,77.0,0.025,82.0,Dulce moderadamente mineralizada,-99.0,-99.0
8,8.0,PUD-FA-074,SNGM-PUD-0042,PZ0042,609161.0,5368153.0,25.0,Pozo,Pozo,APR Pugeñun,22-02-2019,689.0,222.0,306.0,129.0,140.0,2019-018,65.0,220.0,-99.0,0.0,1135.0,-99.0,0.1,153.0,102.0,143.0,26.0,0.01,1736.0,11919.0,15.0,93.0,-99.0,80.0,80.0,0.5,112.0,118.0,0.01,0.005,0.0025,0.0077,0.001,0.03,0.001,0.001,0.0326,0.0005,0.0015,0.2217,45.0,0.4155,0.0025,0.001,0.001,0.0025,0.0015,0.0192,0.00015,-99.0,210.0,0.005,101.0,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,65.0,0.53,116.0,Dulce moderadamente mineralizada
9,9.0,PUD-RT-112,SNGM-PUD-0042,PZ0042,609160.0,5368153.0,23.0,Pozo,Pozo,APR Pugueñún,13-02-2020,661.0,23.0,121.0,1375.0,2020-022,795.0,205.0,-99.0,101.0,0.0,0.1,15.0,98.0,10.0,24.0,0.01,15.0,13.0,150.0,83.0,-99.0,78.0,78.0,0.5,101.0,107.0,0.01,0.005,0.0025,0.0025,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.38,6.8,0.44,0.0025,0.001,0.001,0.0025,0.0015,0.019,-99.0,-99.0,545.0,0.004,97.0,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,-99.0,-99.0,Dulce moderadamente mineralizada,-99.0,-99.0,-99.0
10,10.0,PUD-FA-012,SNGM-PUD-0053,PZ0053,604487.0,5363982.0,14.0,Pozo,Pozo,APR Curamó,25-01-2018,711.0,245.0,738.0,1429.0,-589.0,2018-022,708.0,229.0,-99.0,0.0,121.0,-99.0,0.08,15.0,12.0,16.0,28.0,0.01,25.0,14.0,10.0,99.0,-99.0,84.0,84.0,0.5,132.0,139.0,0.01,0.005,0.0025,0.005,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.12,3.5,0.3,0.0025,0.001,0.001,0.0025,0.0015,0.034,0.00015,-99.0,502.0,0.0005,56.0,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,48.0,0.025,343.0,Dulce moderadamente mineralizada
11,11.0,PUD-FA-069,SNGM-PUD-0053,PZ0053,604487.0,5363982.0,14.0,Pozo,Pozo,Pozo APR Curamó,11-09-2018,664.0,185.0,245.0,132.0,2018-125,731.0,172.0,-99.0,94.0,0.0,0.07,11.0,81.0,13.0,21.0,0.01,25.0,13.0,49.0,77.0,-99.0,60.0,60.0,0.5,95.0,21.0,0.01,0.005,0.0025,0.0025,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,2.6,0.22,0.0025,0.001,0.001,0.0025,0.0015,0.11,0.00015,-99.0,323.0,0.002,50.0,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,-99.0,19.0,0.025,Dulce,-99.0,-99.0,-99.0
12,12.0,PUD-FA-027,SNGM-PUD-0054,PZ0054,601870.0,5363942.0,13.0,Pozo,Pozo,Cermaq,29-01-2018,702.0,5341.0,324.0,1474.0,-631.0,2018-023,668.0,5460.0,-99.0,0.0,201.0,-99.0,0.06,430.0,306.0,166.0,26.0,0.04,16.0,1828.0,150.0,165.0,-99.0,2331.0,165.0,2167.0,2856.0,3016.0,0.021,0.005,0.0025,0.27,0.001,0.093,0.001,0.001,0.005,0.0005,0.0015,0.214,37.0,4.68,0.0025,0.001,0.001,0.0025,0.0015,0.063,0.00015,-99.0,7926.0,0.024,2016.0,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,37.4,6.19,255.0,Salobre
13,13.0,PUD-RT-099,SNGM-PUD-0054,PZ0054,601870.0,5363944.0,9.0,Pozo,Pozo,Cermaq Ancud,11-02-2020,712.0,3580.0,0.0,1583.0,2020-021,687.0,3740.0,-99.0,113.0,0.0,0.07,280.0,210.0,90.0,19.0,0.02,13.0,1162.0,150.0,93.0,-99.0,1562.0,93.0,1470.0,1818.0,1920.0,0.01,0.005,0.0025,0.206,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,48.0,3.816,0.0025,0.001,0.001,0.0025,0.0015,0.037,0.00015,-99.0,25.0,0.0005,29.0,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,-99.0,-99.0,Salobre,-99.0,-99.0,-99.0
14,14.0,PUD-FA-075,SNGM-PUD-0067,PZ0067,603867.0,5364417.0,79.0,Pozo,Pozo,Juan Oyarzo Muñoz,26-08-2018,68.0,117.0,828.0,1355.0,2911.0,2019-018,65.0,1258.0,-99.0,0.0,461.0,-99.0,0.05,75.0,37.0,14.0,12.0,0.01,4378.0,11533.0,3.0,38.0,-99.0,34.0,34.0,0.5,68.0,72.0,0.0242,0.005,0.0025,0.0025,0.001,0.03,0.001,0.001,0.005,0.0019,0.0015,0.0909,0.0358,0.0145,0.0025,0.001,0.001,0.0054,0.0094,0.1772,0.00015,-99.0,119.0,0.002,55.0,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,55.0,0.025,906.0,Dulce
15,15.0,PUD-FA-043,SNGM-PUD-0094,R-0094,611771.0,5362649.0,29.0,Cuerpo de agua superficial,Río,Río Huicha en ruta 5,01-02-2018,724.0,130.0,825.0,1632.0,2189.0,2018-024,722.0,129.0,-99.0,0.0,68.0,-99.0,0.05,100.0,51.0,71.0,18.0,0.01,10.0,67.0,150.0,56.0,-99.0,46.0,46.0,0.5,65.0,69.0,0.1,0.005,0.0025,0.0025,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.146,0.031,0.0025,0.001,0.001,0.0025,0.009,0.005,-99.0,-99.0,111.0,0.0005,48.0,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,-99.0,26.7,0.025,620.0,Dulce
16,16.0,PUD-FA-086,SNGM-PUD-0094,R-0094,611760.0,5362675.0,21.0,Cuerpo de agua superficial,Río,Río Huicha en ruta 5,25-02-2019,742.0,125.0,1071.0,1156.0,448.0,2019-018,71.0,1384.0,-99.0,0.0,7757.0,-99.0,0.06,105.0,54.0,93.0,16.0,0.01,1378.0,67.0,15.0,64.0,-99.0,49.0,49.0,0.5,73.0,77.0,0.0763,0.005,0.0025,0.0025,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.0853,0.181,0.0448,0.0025,0.001,0.001,0.0025,0.01,0.0188,0.00015,-99.0,86.0,0.0005,54.0,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,53.0,0.025,458.0,Dulce
17,17.0,PUD-RT-092,SNGM-PUD-0094,R-0094,611765.0,5362680.0,46.0,Cuerpo de agua superficial,Río,Río Huicha en R 5,10-02-2020,697.0,94.0,637.0,1638.0,2020-021,684.0,98.0,-99.0,42.0,0.0,0.05,66.0,36.0,63.0,99.0,0.01,10.0,74.0,150.0,34.0,-99.0,31.0,31.0,0.5,46.0,49.0,0.14,0.005,0.0025,0.0025,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.067,0.24,0.029,0.0025,0.001,0.001,0.0025,0.008,0.011,0.00015,-99.0,32.0,0.0005,34.0,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,-99.0,-99.0,Dulce,-99.0,-99.0,-99.0
18,18.0,PUD-FA-085,SNGM-PUD-0095,R-0095,613808.0,5362022.0,33.0,Cuerpo de agua superficial,Río,Río Huicha en San Antonio,25-02-2019,721.0,121.0,844.0,1016.0,515.0,2019-018,697.0,133.0,-99.0,0.0,7435.0,-99.0,0.06,95.0,56.0,93.0,16.0,0.01,5.0,6468.0,15.0,61.0,-99.0,47.0,47.0,0.5,70.0,74.0,0.0962,0.005,0.0025,0.0025,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.0776,0.2663,0.0084,0.0025,0.001,0.001,0.0025,0.01,0.005,0.00015,-99.0,126.0,0.0005,51.0,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,48.0,0.025,546.0,Dulce
19,19.0,PUD-RT-093,SNGM-PUD-0095,R-0095,613800.0,5362024.0,32.0,Cuerpo de agua superficial,Río,Río Huicha en San Antonio,10-02-2020,692.0,77.0,577.0,1608.0,2020-021,666.0,78.0,-99.0,29.0,0.0,0.04,49.0,30.0,55.0,84.0,0.01,5.0,74.0,150.0,24.0,-99.0,25.0,24.0,1.0,37.0,39.0,0.22,0.005,0.0025,0.0025,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.34,0.011,0.0025,0.001,0.001,0.0025,0.007,0.011,0.00015,-99.0,33.0,0.0005,25.0,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,-99.0,-99.0,Dulce,-99.0,-99.0,-99.0
20,20.0,PUD-RT-065,SNGM-PUD-0239,R-0239,604741.0,5365621.0,-8.0,Cuerpo de agua superficial,Río,Río Huicha Bajo,25-02-2019,729.0,4518.0,613.0,151.0,1505.0,2019-024,724.0,5200.0,-99.0,0.0,72.0,-99.0,0.11,43.0,103.0,780.0,28.0,0.01,196.0,1580.0,150.0,59.0,-99.0,531.0,531.0,472.0,2765.0,2920.0,0.01,0.005,0.0025,0.0025,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.005,0.0015,0.0025,0.001,0.001,0.0025,0.0015,0.005,0.00015,-99.0,659.0,0.008,610.0,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,-99.0,-99.0,Salobre,-99.0
21,21.0,PUD-RT-103,SNGM-PUD-0239,R-0239,604737.0,5365622.0,3.0,Cuerpo de agua superficial,Río,Río Huicha Bajo,11-02-2020,703.0,2343.0,554.0,209.0,2020-021,682.0,2460.0,-99.0,33.0,0.0,0.07,22.0,50.0,370.0,14.0,0.02,124.0,687.0,50.0,27.0,-99.0,261.0,27.0,233.0,1333.0,1408.0,0.13,0.005,0.0025,0.0025,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.32,0.028,0.0025,0.001,0.001,0.0025,0.0015,0.011,0.00015,-99.0,34.0,0.003,94.0,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,-99.0,-99.0,Salobre,-99.0,-99.0,-99.0
22,22.0,PUD-RT-066,SNGM-PUD-0240,R-0240,607952.0,5364888.0,6.0,Cuerpo de agua superficial,Río,Rio Huicha Medio,25-02-2019,72.0,112.0,586.0,1198.0,884.0,2019-024,714.0,135.0,-99.0,0.0,71.0,-99.0,0.05,11.0,57.0,56.0,19.0,0.01,11.0,78.0,150.0,58.0,-99.0,51.0,51.0,0.5,68.0,72.0,0.061,0.005,0.0025,0.0025,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.3,0.046,0.0025,0.001,0.001,0.009,0.006,0.005,0.00015,-99.0,727.0,0.0005,48.0,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,-99.0,-99.0,Dulce,-99.0
23,23.0,PUD-RT-091,SNGM-PUD-0240,R-0240,607955.0,5364892.0,-1.0,Cuerpo de agua superficial,Río,Río Huicha Medio,10-02-2020,677.0,98.0,507.0,1489.0,2020-021,698.0,97.0,-99.0,39.0,0.0,0.05,61.0,36.0,68.0,87.0,0.01,13.0,87.0,150.0,32.0,-99.0,30.0,30.0,0.5,47.0,49.0,0.11,0.005,0.0025,0.0025,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.39,0.046,0.0025,0.001,0.001,0.0025,0.005,0.016,0.00015,-99.0,33.0,0.0005,33.0,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,-99.0,-99.0,Dulce,-99.0,-99.0,-99.0
24,24.0,PUD-FA-095,SNGM-PUD-0193,LL0193,612730.0,5359810.0,59.0,Lluvia,Lluvia,Lluvia El Quilar,26-04-2019,2019-069,636.0,17.0,-99.0,51.0,-99.0,0.015,20.0,20.0,18.0,19.0,0.01,1.0,35.0,150.0,4.0,-99.0,10.0,1.0,0.5,90.0,90.0,0.027,0.005,0.129,0.0025,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.005,0.007,0.0025,0.001,0.001,0.0025,0.0015,0.019,0.00015,-99.0,17.0,0.0005,2.0,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,-99.0,-99.0,Dulce,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
25,25.0,PUD-FA-022,SNGM-PUD-0016,NR0016,612726.0,5358816.0,58.0,Noria,Noria,Escuela Rural El Quilar,28-01-2018,56.0,43.0,674.0,1287.0,2628.0,2018-023,566.0,41.0,-99.0,0.0,65.0,-99.0,0.015,24.0,10.0,32.0,10.0,0.01,51.0,53.0,150.0,5.0,-99.0,10.0,5.0,5.0,20.0,21.0,0.026,0.005,0.0025,0.0025,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.005,0.007,0.0025,0.001,0.001,0.0025,0.0015,0.023,0.00015,-99.0,67.0,0.0005,8.0,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,5.35,0.025,114.0,Dulce
26,26.0,PUD-RT-054,SNGM-PUD-0016,NR0016,612726.0,5358816.0,58.0,Noria,Noria,Escuela Rural El Quilar,23-02-2019,57.0,38.0,205.0,1366.0,-51.0,2019-024,578.0,41.0,-99.0,0.0,89.0,-99.0,0.015,30.0,10.0,13.0,13.0,0.01,35.0,45.0,150.0,7.0,-99.0,12.0,7.0,4.0,19.0,20.0,0.01,0.005,0.0025,0.0025,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.43,0.034,0.0025,0.001,0.001,0.0025,0.0015,0.017,0.00015,-99.0,54.0,0.0005,12.0,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,-99.0,-99.0,Dulce,-99.0
27,27.0,PUD-FA-009,SNGM-PUD-0031,NR0031,615675.0,5362927.0,53.0,Noria,Noria,Nancy Millán,25-01-2018,584.0,38.0,683.0,1357.0,2511.0,2018-022,595.0,38.0,-99.0,0.0,55.0,-99.0,0.015,20.0,14.0,39.0,21.0,0.01,23.0,65.0,150.0,4.0,-99.0,10.0,4.0,6.0,20.0,21.0,0.12,0.005,0.0025,0.0025,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.013,0.008,0.0025,0.001,0.001,0.0025,0.0015,0.005,0.00015,-99.0,119.0,0.0005,5.0,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,0.5,0.025,290.0,Dulce
28,28.0,PUD-FA-011,SNGM-PUD-0033,NR0033,615846.0,5361288.0,52.0,Noria,Noria,José Reyes,25-01-2018,622.0,100.0,698.0,2101.0,2137.0,2018-022,648.0,100.0,-99.0,0.0,45.0,-99.0,0.015,69.0,47.0,53.0,73.0,0.01,10.0,81.0,150.0,37.0,-99.0,37.0,37.0,0.5,49.0,52.0,0.021,0.005,0.0025,0.0025,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.036,0.24,0.0025,0.001,0.001,0.008,0.0015,0.014,0.00015,-99.0,148.0,0.0005,23.0,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,37.0,0.025,616.0,Dulce
29,29.0,PUD-FA-008,SNGM-PUD-0037,NR0037,605579.0,5366523.0,24.0,Noria,Noria,Sergio Pérez,25-01-2018,425.0,282.0,196.0,1208.0,975.0,2018-022,426.0,290.0,-99.0,0.0,2.0,-99.0,0.015,20.0,57.0,36.0,34.0,0.01,15.0,72.0,150.0,0.5,-99.0,29.0,0.5,29.0,134.0,141.0,0.91,0.005,0.0025,0.007,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.059,1.0,0.02,0.0025,0.001,0.001,0.0025,0.0015,0.02,0.00015,-99.0,244.0,0.0005,23.0,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,14.0,0.025,132.0,Dulce moderadamente mineralizada
30,30.0,PUD-FA-021,SNGM-PUD-0072,NR0072,611513.0,5360914.0,46.0,Noria,Noria,Mariela Nuñez,28-01-2018,58.0,41.0,77.0,1253.0,2879.0,2018-023,580.0,44.0,-99.0,0.0,45.0,-99.0,0.015,10.0,70.0,47.0,20.0,0.01,14.0,98.0,150.0,4.0,-99.0,50.0,4.0,2.0,20.0,21.0,0.063,0.005,0.0025,0.0025,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.005,0.0015,0.0025,0.001,0.001,0.0025,0.0015,0.018,0.00015,-99.0,53.0,0.0005,8.0,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,5.35,0.025,616.0,Dulce
